order_id,order_item_id,courier_code,over_ride
404-4424207-7575561,50203675180642,IMILEUAE,
171-4463232-9408363,50202693846962,IMILEUAE,
408-7226920-5829969,50201815766922,IMILEUAE,
405-1260807-7048335,50204507671242,IMILEUAE,
403-0358041-1622729,50201346507602,IMILEUAE,
405-7851301-1266709,50205991024042,IMILEUAE,
404-4959693-5604347,50200096489962,IMILEUAE,
408-3342586-8008306,50200592431002,IMILEUAE,
171-2466770-1398721,50201498385642,IMILEUAE,
408-3458163-2180357,50200397029122,IMILEUAE,
405-0351375-5148348,50199093064682,IMILEUAE,
171-1372517-6541166,50201458579722,IMILEUAE,
402-6665499-6041123,50200351248282,IMILEUAE,
408-5868087-2044319,50200026138002,IMILEUAE,
405-6065068-5827539,50199998236242,IMILEUAE,
405-3293032-5864310,50197330073762,IMILEUAE,
406-1456417-7749915,50187922608762,IMILEUAE,
403-6449755-1038756,50187634210202,IMILEUAE,
407-0149360-0186755,50184405230882,IMILEUAE,
407-3890913-6456316,50190778669882,IMILEUAE,
403-5712868-0519502,50190328434882,IMILEUAE,
403-1722354-7273930,50190285568602,IMILEUAE,
408-8045666-3357147,50189010969842,IMILEUAE,
402-5025989-5672314,50183127639442,IMILEUAE,
407-1852778-4448366,50183890997402,IMILEUAE,
171-8054849-3585910,50181951696642,IMILEUAE,
408-4790887-4931553,50185233620282,IMILEUAE,
402-8922801-8557916,50195768984042,IMILEUAE,
171-8071799-2802706,50193003353682,IMILEUAE,
402-1606206-1925120,50194679929202,IMILEUAE,
407-6738546-3381925,50191012948362,IMILEUAE,
404-6793131-4979559,50191584723802,IMILEUAE,
402-8896715-2096340,50184609649602,IMILEUAE,
403-9147706-5314702,49915016713642,IMILEUAE,
404-9847361-2291545,50189013631122,IMILEUAE,
403-6109842-3001124,50186966659722,IMILEUAE,
406-6138058-6213113,50198984656442,IMILEUAE,
407-3362734-1497140,50197923145122,IMILEUAE,
404-7395840-0141164,50199387971042,IMILEUAE,
405-6276755-1323500,50183016452882,IMILEUAE,
404-5992760-4121145,50184825383602,IMILEUAE,
402-9668628-5435546,50192400986482,IMILEUAE,
171-8991562-9593967,50190741136762,IMILEUAE,
171-7348912-8521966,50188783846682,IMILEUAE,
407-2737421-8809135,50164031834922,IMILEUAE,
171-2316789-0517144,50195860740802,IMILEUAE,
402-7581776-3017142,50192007308282,IMILEUAE,
402-5623103-3221918,50186960680642,IMILEUAE,
171-8438108-5251540,50198709110962,IMILEUAE,
403-3703879-3771543,50198270437642,IMILEUAE,
407-4938632-9969156,50190026804802,IMILEUAE,
403-6552703-7501921,50188421277642,IMILEUAE,
405-8875527-7462760,50184119212842,IMILEUAE,
404-7859255-3820349,50195117246562,IMILEUAE,
408-4201092-1756337,50194772618442,IMILEUAE,
407-2923595-6297138,50194040531402,IMILEUAE,
405-1736094-0447509,50185882075922,IMILEUAE,
402-1875754-9657102,50199752508562,IMILEUAE,
171-8054425-4665946,50192019634122,IMILEUAE,
408-4612643-1808301,50186825876722,IMILEUAE,
171-6302624-8849927,50200034219242,IMILEUAE,
403-3295874-4718749,50187346054282,IMILEUAE,
407-6041456-0469110,50184248250242,IMILEUAE,
171-4286671-4758722,50183909314562,IMILEUAE,
171-2039360-9453951,50181875446522,IMILEUAE,
407-9424879-8332341,50195479783522,IMILEUAE,
408-7761184-1647548,50198145078682,IMILEUAE,
403-6574236-4323515,50187326125682,IMILEUAE,
407-9325927-6157110,50195445016282,IMILEUAE,
405-6345498-9382738,50195752011922,IMILEUAE,
171-7522374-8317945,50191957113322,IMILEUAE,
406-3224812-9173168,50197582346602,IMILEUAE,
407-1867859-1881132,50193689836282,IMILEUAE,
407-5809888-6141121,50191374939922,IMILEUAE,
402-3635280-2262703,50188182788002,IMILEUAE,
406-2685096-7580326,50196677823322,IMILEUAE,
404-1255984-3428307,50193396106762,IMILEUAE,
406-8807922-9336321,50191582693242,IMILEUAE,
405-6522366-2508361,50195513879642,IMILEUAE,
408-5164597-0028365,50194958864442,IMILEUAE,
406-6218259-6785921,50191039159682,IMILEUAE,
403-7238705-8654707,50189365687002,IMILEUAE,
408-2295957-6270708,50188762361042,IMILEUAE,
407-2839432-7781168,50188362010362,IMILEUAE,
403-8107727-3884331,50189140506042,IMILEUAE,
405-6703309-6986717,50199845796602,IMILEUAE,
406-3874602-1019545,50197022448082,IMILEUAE,
171-2475634-3397152,50188202635082,IMILEUAE,
405-0425765-2250719,50188181425082,IMILEUAE,
407-4777488-6246716,50185592230482,IMILEUAE,
408-2332356-5740342,50183071992282,IMILEUAE,
